author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Ambrogio Cesa-Bianchi,Does Easing Monetary Policy Increase Financial Instability?,Bank of England,Jan 03 2016,2:30 PM,"Marriott Marquis, Sierra H","International Banking, Economics and Finance Association","The Market Microstructure of Monetary Policy (G1, E5)",,Michael Ehrmann,Bank of Canada,Allen Zhang,U.S. Department of Treasury,David Lucca,Federal Reserve Bank of New York,Sascha Steffen,University of Mannheim and ZEW,Zheng Liu,Federal Reserve Bank of San Francisco,,,Ambrogio Cesa-Bianchi,Male,,,,,,NA,NA,NA,NA,NA
Amil Dasgupta,Wolf Pack Activism,London School of Economics,Jan 05 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 14 & 15",American Finance Association,Corporate Control - Governance,G3,Alex Edmans,London Business School,Andrew Winton,University of Minnesota,Amy Dittmar,University of Michigan,Michael Weisbach,Ohio State University,David Denis,University of Pittsburgh,,,Amil Dasgupta,Male,,,,,,NA,NA,NA,NA,NA
Amil Petrin,"Heterogenous Production Functions, Panel Data, and Productivity Growth Accounting",University of Minnesota,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 14",Econometric Society,Heterogenous Production Functions: Estimation and Applications,A1,Jeremy Fox,University of Michigan,Paul Grieco,Pennsylvania State University,Daniel A. Ackerberg,University of Michigan,Matthew Backus,Cornell University,Stephane Bonhomme,University of Chicago,,,AMIL PETRIN,Male,,,,,,NA,NA,NA,NA,NA
Amir Kermani,Unconventional Monetary Policy and the Allocation of Credit,University of California-Berkeley,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 20",Econometric Society,Housing and Macroeconomics,A1,Stefano Giglio,University of Chicago,Alexander Chinco,University of Illinois-Urbana-Champaign,Marco Di Maggio,Columbia University,Philipp Schnabl,New York University,Charles G. Nathanson,Northwestern University,,,Amir Kermani,Male,,,,,,NA,NA,NA,NA,NA
Amir Kermani,"Deregulation, Competition and the Race to the Bottom",University of California-Berkeley,Jan 04 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 12 & 13",American Finance Association,Regulatory Behavior and Design,G2,Amit Seru,University of Chicago,David Lucca,Federal Reserve Bank of New York,Philipp Schnabl,New York University,Sumit Agarwal,National University of Singapore,Uday Rajan,University of Michigan,,,Amir Kermani,Male,,,,,,NA,NA,NA,NA,NA
Amir Yaron,Carlstrom and Fuerst meets Epstein and Zin: The Asset Pricing Implications of Contracting Frictions,University of Pennsylvania,Jan 05 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 12 & 13",American Finance Association,"Competition, Contracting Frictions, and Commodity Markets: Implications for Asset Prices",G1,Frederico Belo,University of Minnesota and NBER,Maria Cecilia Bustamante,University of Maryland,Francisco Palomino,University of Michigan,Hengjie Ai,University of Minnesota,Lars Lochstoer,Columbia University,,,AMIR YARON,Male,,,,,,NA,NA,NA,NA,NA
Amir Yaron,Identifying Long-Run Risks: A Bayesian Mixed-Frequency Approach,University of Pennsylvania,Jan 04 2016,2:30 PM,"Marriott Marquis, Yerba Buena Salons 10 & 11",American Finance Association,Pricing of Macroeconomic Risk,G1,Lars Kuehn,Carnegie Mellon University,Adlai Fisher,University of British Columbia,Jessica Wachter,University of Pennsylvania,Hanno Lustig,Stanford University,Lars Lochstoer,Columbia University,,,AMIR YARON,Male,,,,,,NA,NA,NA,NA,NA
Amit Gandhi,On the Identification of Production Functions with Non Hicks Neutral Technical Change,University of Wisconsin-Madison,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 14",Econometric Society,Heterogenous Production Functions: Estimation and Applications,A1,Jeremy Fox,University of Michigan,Paul Grieco,Pennsylvania State University,Daniel A. Ackerberg,University of Michigan,Matthew Backus,Cornell University,Stephane Bonhomme,University of Chicago,,,Amit Gandhi,Male,,,,,,NA,NA,NA,NA,NA
Amit Khandelwal,Exporting and Firm Performance: Evidence from a Randomized Trial,Columbia University,Jan 05 2016,1:00 PM,"Hilton Union Square, Continental – Parlor 2",American Economic Association,"Globalization, Organization, and Management: Empirical Evidence from Micro Level Data (F2, F6)",,Laura Alfaro,Harvard Business School,Raffaella Sadun,Harvard Business School,David Atkin,Massachusetts Institute of Technology,Claudia Steinwender,Harvard Business School,David Donaldson,Stanford University,,,Amit Khandelwal,Male,NBER Amit Khandelwal,,,,,NA,NA,NA,NA,NA
Amitabh Chandra,"Underuse, Overuse, Comparative Advantage, and Expertise in Health Care",Harvard University,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 19",Econometric Society,Geographic Variation in Health Care Markets,A1,Matthew Gentzkow,Stanford University,Christopher Walters,University of California-Berkeley,David Meltzer,University of Chicago,Nathaniel Hendren,Harvard University and NBER,,,,,AMITABH CHANDRA,Male,,,,,,NA,NA,NA,NA,NA
Amitabh Chandra,"What Does a Deductible Do? The Impact of Cost-Sharing on Health Care Prices, Quantities, and Spending Dynamics",Harvard University,Jan 04 2016,2:30 PM,"Hilton Union Square, Golden Gate 3 & 4",American Economic Association,"Competition, Hospitals' Negotiated Prices, and Health Care Spending (I1, L1)",,Zack Cooper,Yale University,,,,,,,,,,,AMITABH CHANDRA,Male,,,,,,NA,NA,NA,NA,NA
Amitabh Chandra,Understanding Hospital Treatment Rates,Harvard University,Jan 04 2016,10:15 AM,"Hilton Union Square, Plaza B",American Economic Association,Value-Added Models: New Methods and Applications,I2,John Friedman,Brown University and NBER,Lawrence Katz,Harvard University,Guido Imbens,Stanford University,,,,,,,AMITABH CHANDRA,Male,,,,,,NA,NA,NA,NA,NA
Amitabh Chandra,Measuring the Incremental Benefit of Medicare Expenditures: Evidence from the Healthcare Cost Slowdown,Harvard University,Jan 05 2016,8:00 AM,"Hilton Union Square, Union Square 3 & 4",Health Economics Research Organization/American Economic Association,"Evidence on Health Spending Growth and Slowdown Using Medicaid, Medicare, and Household Data (I1, H5)",,Donald E. Yett,University of Southern California,Martin Gaynor,Carnegie Mellon University,Joshua Gottlieb,University of British Columbia,M. Kate Bundorf,Stanford University,,,,,AMITABH CHANDRA,Male,,,,,,NA,NA,NA,NA,NA
Amitabh Chandra,Healthcare Exceptionalism? Productivity and Allocation in the U.S. Healthcare Sector,Harvard University,Jan 05 2016,1:00 PM,"Hilton Union Square, Continental Parlors 7 & 8",American Economic Association,"Productivity, Regulation and Allocation: Macro, Industry- and Firm-Level Evidence (D2, O4)",,Catherine L. Mann,OECD,Jan K. De Loecker,Princeton University,Jonathan Haskel,Imperial College London,Catherine L Mann,OECD,Daniel Sichel,Wellesley College,,,AMITABH CHANDRA,Male,,,,,,NA,NA,NA,NA,NA
Amiyatosh Purnanandam,The Strategic Under-Reporting of Bank Risk,University of Michigan,Jan 04 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 12 & 13",American Finance Association,Regulatory Behavior and Design,G2,Amit Seru,University of Chicago,David Lucca,Federal Reserve Bank of New York,Philipp Schnabl,New York University,Sumit Agarwal,National University of Singapore,Uday Rajan,University of Michigan,,,AMIYATOSH PURNANANDAM,Male,,,,,,NA,NA,NA,NA,NA
Amiyatosh Purnanandam,Bank Risk Dynamics and Distance to Default,University of Michigan,Jan 05 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 3 & 4",American Finance Association,Credit Risk,G1,Hui Chen,Massachusetts Institute of Technology,Francis Longstaff,University of California-Los Angeles,Nicolae Garleanu,University of California-Berkeley,Antje Berndt,North Carolina State University,George Pennacchi,University of Illinois,,,AMIYATOSH PURNANANDAM,Male,,,,,,NA,NA,NA,NA,NA
Amy Finkelstein,Can Health Insurance Competition Work? Evidence from Medicare Advantage,Massachusetts Institute of Technology,Jan 03 2016,10:15 AM,"Hilton Union Square, Yosemite A",Health Economics Research Organization,"Public and Private Health Insurance in the Medicare Program (I1, L8)",,Mark G. Duggan,Stanford University,Marika Cabral,University of Texas-Austin,Michael Chernew,Harvard University,Haizhen Lin,Indiana University,,,,,AMY FINKELSTEIN,Female,,,,,,NA,NA,NA,NA,NA
Amy Finkelstein,Healthcare Exceptionalism? Productivity and Allocation in the U.S. Healthcare Sector,Massachusetts Institute of Technology,Jan 05 2016,1:00 PM,"Hilton Union Square, Continental Parlors 7 & 8",American Economic Association,"Productivity, Regulation and Allocation: Macro, Industry- and Firm-Level Evidence (D2, O4)",,Catherine L. Mann,OECD,Jan K. De Loecker,Princeton University,Jonathan Haskel,Imperial College London,Catherine L Mann,OECD,Daniel Sichel,Wellesley College,,,AMY FINKELSTEIN,Female,,,,,,NA,NA,NA,NA,NA
Amy Finkelstein,Understanding Geographic Variation in Mortality,Massachusetts Institute of Technology,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 19",Econometric Society,Geographic Variation in Health Care Markets,A1,Matthew Gentzkow,Stanford University,Christopher Walters,University of California-Berkeley,David Meltzer,University of Chicago,Nathaniel Hendren,Harvard University and NBER,,,,,AMY FINKELSTEIN,Female,,,,,,NA,NA,NA,NA,NA
Amy Finkelstein,Understanding Geographic Variation in Mortality,Massachusetts Institute of Technology,Jan 05 2016,10:15 AM,"Hilton Union Square, Imperial B",American Economic Association,"Management and Productivity in Health Care (I1, D2)",,Nicholas Bloom,Stanford University,Raffaella Sadun,Harvard University,Jeff Clemens,University of California-San Diego,Aviv Nevo,Northwestern University,Martin Gaynor,Carnegie Mellon University,,,AMY FINKELSTEIN,Female,,,,,,NA,NA,NA,NA,NA
Anastasia Kartasheva,CoCo Bonds Issuance and Bank Funding Costs,Bank for International Settlements,Jan 04 2016,10:15 AM,"Hilton Union Square, Franciscan D",American Economic Association,"CoCos: Funding Costs, Risks and Financial Stability (G2, E5)",,Anastasia Kartasheva,Bank for International Settlements,Philip Bond,University of Washington,Alexei Tchistyi,University of Illinios-Urbana-Champaign,Theo Vermaelen,INSEAD,Bo Becker,Stockholm School of Economics,,,Anastasia Kartasheva,Female,,,,,,NA,NA,NA,NA,NA
Ander Perez,The Transmission of Monetary Policy through Bank Lending: The Floating Rate Channel,Universitat Pompeu Fabra and Boston University,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 13",American Economic Association,"Credit, Frictions, and the Macroeconomy",E2,Andrew Jalil,Occidental College,,,,,,,,,,,Ander Perez,Male,,,,,,NA,NA,NA,NA,NA
Andre Kurmann,Downward Wage Rigidity in the U.S.: New Evidence from Worker‐Firm Linked Data,Drexel University,Jan 05 2016,10:15 AM,"Hilton Union Square, Yosemite A",American Economic Association,"Wage Rigidity (J3, E2)",,Mark Schweitzer,Federal Reserve Bank of Cleveland,William Dickens,Northeastern University,Gary Solon,University of Arizona,Joseph Altonji,Yale University,Gabriel Ehrlich,University of Michigan,,,Andre Kurmann,Male,,,,,,NA,NA,NA,NA,NA
Andrea Ajello,Financial Stability and Optimal Interest-Rate Policy,Federal Reserve Board,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 13",American Economic Association,Financial Stability,G2,Chiara Scotti,Federal Reserve Board,,,,,,,,,,,Andrea Ajello,Male,,,,,,NA,NA,NA,NA,NA
Andrea Prestipino,Anticipated Banking Crises,Federal Reserve Board,Jan 04 2016,2:30 PM,"Hilton Union Square, Plaza B",American Economic Association,"Quantitative Modeling of the Financial Crisis (E3, E4)",,Mark Gertler,New York University,Ali Shourideh,University of Pennsylvania,Simon Gilchrist,Boston University,Pablo Kurlat,Stanford University,Juliane Begenau,Harvard Business School,,,Andrea Prestipino,Male,,,,,,NA,NA,NA,NA,NA
Andrea Tambalotti,A Simple Model of Subprime Borrowers and Credit Growth,Federal Reserve Bank-New York,Jan 04 2016,2:30 PM,"Hilton Union Square, Plaza B",American Economic Association,"Quantitative Modeling of the Financial Crisis (E3, E4)",,Mark Gertler,New York University,Ali Shourideh,University of Pennsylvania,Simon Gilchrist,Boston University,Pablo Kurlat,Stanford University,Juliane Begenau,Harvard Business School,,,Andrea Tambalotti,Male,,,,,,NA,NA,NA,NA,NA
Andrea Tamoni,Horizon-Specific Macroeconomic Risks and the Cross-Section of Expected Returns,London School of Economics,Jan 04 2016,2:30 PM,"Marriott Marquis, Yerba Buena Salons 10 & 11",American Finance Association,Pricing of Macroeconomic Risk,G1,Lars Kuehn,Carnegie Mellon University,Adlai Fisher,University of British Columbia,Jessica Wachter,University of Pennsylvania,Hanno Lustig,Stanford University,Lars Lochstoer,Columbia University,,,Andrea Tamoni,Male,,,,,,NA,NA,NA,NA,NA
Andrea Vedolin,International Correlation Risk,London School of Economics,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 22",American Economic Association,Global Imbalances and Exchange Rates,F3,Xavier Gabaix,New York University,Hanno Lustig,Stanford University,Matteo Maggiori,Harvard University,Paolo Cavallino,International Monetary Fund,,,,,Andrea Vedolin,Female,,,,,,NA,NA,NA,NA,NA
Andrea Weber,Nonparametric Evidence on the Effects of Financial Incentives on Retirement Decisions,University of Mannheim,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 25",American Economic Association,Determinants of Labor Supply,J2,Lee Lockwood,Northwestern University,,,,,,,,,,,ANDREA WEBER,Female,,,,,,NA,NA,NA,NA,NA
Andreas Fuster,To Buy or Not to Buy: Consumer Constraints in the Housing Market,Federal Reserve Bank of New York,Jan 03 2016,2:30 PM,"Hilton Union Square, Franciscan C",American Economic Association,"Homeownership and the American Dream (R2, E2)",,John V. Duca,Federal Reserve Bank of Dallas and Southern Methodist University,James D. Shilling,DePaul University,Shane Sherlund,Federal Reserve Board,Raphael W. Bostic,University of Southern California,Andra Ghent,University of Wisconsin-Madison,,,Andreas Fuster,Male,,,,,,NA,NA,NA,NA,NA
Andreas Fuster,Understanding Mortgage Spreads,Federal Reserve Bank of New York,Jan 05 2016,1:00 PM,"Parc 55, Powell II",American Real Estate & Urban Economic Association/American Finance Association,"Special Topics: Real Estate (G1, R2)",,Sheridan Titman,University of Texas-Austin,Timothy Riddiough,University of Wisconsin-Madison,Christopher Parsons,University of California-San Diego,Amit Seru,University of Chicago,Chester Spatt,Carnegie Mellon University,,,Andreas Fuster,Male,,,,,,NA,NA,NA,NA,NA
Andreas Moxnes,Multinational Firms and Exporters Dynamics,University of Oslo,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 13",American Economic Association,"New Theory and Evidence on the Dynamics of Multinational Corporations (F1, F6)",,Stefania Garetto,Boston University,Stephen Yeaple,Pennsylvania State University,Javier Cravino,University of Michigan,Andres Rodriguez-Clare,University of California-Berkeley,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,,,Andreas Moxnes,Male,,,,,,NA,NA,NA,NA,NA
Andreas Stathopoulos,International Correlation Risk,University of Washington,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 22",American Economic Association,Global Imbalances and Exchange Rates,F3,Xavier Gabaix,New York University,Hanno Lustig,Stanford University,Matteo Maggiori,Harvard University,Paolo Cavallino,International Monetary Fund,,,,,Andreas Stathopoulos,Male,,,,,,NA,NA,NA,NA,NA
Andreas Stathopoulos,Nominal Exchange Rate Stationarity and Long-Term Bond Returns,University of Washington,Jan 04 2016,8:00 AM,"Marriott Marquis, Nob Hill A & B",American Finance Association,Advances in International Finance,G1,Matteo Maggiori,Harvard University,Stefano Giglio,University of Chicago,Pablo Ottonello,University of Michigan,Stavros Panageas,University of Chicago,Paolo Cavallino,New York University,,,Andreas Stathopoulos,Male,,,,,,NA,NA,NA,NA,NA
Andrei Levchenko,Multinational Firms and International Business Cycle Transmission,University of Michigan,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 14",Econometric Society,"Firm-Level International Linkages (F1, F2)",,Andrew McCallum,Federal Reserve Board,Natalia Ramondo,University of California-San Diego,Teresa Fort,Dartmouth College,Kim Ruhl,New York University,James Tybout,Pennsylvania State University,Claudia Steinwender,Harvard Business School,ANDREI LEVCHENKO,Male,,,,,,NA,NA,NA,NA,NA
Andrei Shleifer,After You: Gender and Group Decision-Making,Harvard University,Jan 04 2016,2:30 PM,"Hilton Union Square, Franciscan C",American Economic Association,"Experimental Gender Economics (C9, D8)",,Muriel Niederle,Stanford University,Johanna Mollerstrom,George Mason University,Maria Recalde,International Food Policy Research Institute,Anya Samek,University of Southern Califiornia,Olga Shurchkov,Wellesley College,,,ANDREI SHLEIFER,Male,,,,,,NA,NA,NA,NA,NA
