author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,
Andrea L. Eisfeldt,Fragility and Restructuring in Trading Networks,Northwestern University,Jan 06 2012,2:30 PM,"Hyatt Regency, Regency A",American Economic Association,Funding and Market Liquidity,G1,Markus Brunnermeier,Princeton University and NBER,Arvind Krishnamurthy,Northwestern University and NBER,Tarun Chordia,Emory University,Ioanid Rosu,HEC Paris,Ashish Tiwari,University of Iowa,,,Andrea L. Eisfeldt,Female,ANDREA EISFELDT,,,,,NA,NA,NA,NA,NA,
Andrea Vedolin,Bond Variance Risk Premia,London School of Economics,Jan 08 2012,10:15 AM,"Hyatt Regency, Buckingham",Econometric Society,Bonds and CDS Markets,G1,Pierre Collin-Dufresne,Columbia University,Michael Fleming,Federal Reserve Bank of New York,Rene Stulz,Ohio State University,Torben Andersen,Northwestern University,,,,,Andrea Vedolin,Female,,,,,,NA,NA,NA,NA,NA,
Andreas Moxnes,The Tip of the Iceberg: A Quantitative Framework for Estimating Trade Costs,Dartmouth College,Jan 07 2012,10:15 AM,"Hyatt Regency, Field",Econometric Society,Intermediation and Transport Costs in International Trade,F1,Amit Kandelwal,Columbia Business School,Robert Christopher Johnson,Dartmouth College,Stefania Garetto,Boston University,Marc-Andreas Muendler,University of California-San Diego,Amit Khandelwal,Columbia Business School,,,Andreas Moxnes,Male,,,,,,NA,NA,NA,NA,NA,
Andrei Levchenko,Comparative Advantage and Welfare Impact of European Integration,University of Michigan,Jan 06 2012,12:30 PM,"Hyatt Regency, Stetson Suite FG",International Trade & Finance Association,International Trade and Finance,F1,Georg Schaur,University of Tennessee,,,,,,,,,,,ANDREI LEVCHENKO,Male,,,,,,NA,NA,NA,NA,NA,
Andrei Levchenko,The Evolution of Comparative Advantage,University of Michigan,Jan 08 2012,10:15 AM,"Hyatt Regency, Skyway 260",American Economic Association,"Structural Change, Growth and Welfare in the Global Economy",F4,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,Rachel Ngai,London School of Economics,Diego Restuccia,University of Toronto,Francisco Buera,Federal Reserve Bank of Minneapolis,Michael Waugh,New York University,,,ANDREI LEVCHENKO,Male,,,,,,NA,NA,NA,NA,NA,
Andrei Shleifer,Salience in Experimental Tests of the Endowment Effect,Harvard University,Jan 07 2012,10:15 AM,"Hyatt Regency, Crystal A",American Economic Association,Attention and Choice,D8,David Laibson,Harvard University,Daniel Kahneman,Princeton University,,,,,,,,,ANDREI SHLEIFER,Male,,,,,,NA,NA,NA,NA,NA,
Andrei Shleifer,A Model of Shadow Banking,Harvard University,Jan 08 2012,10:15 AM,"Hyatt Regency, Regency B",American Economic Association,"Information, Financial Crisis and the Real Economy",G2,Olivier Blanchard,International Monetary Fund,Viral Acharya,New York University,Itay Goldstein,University of Pennsylvania,Gary Gorton,Yale University,Nobuhiro Kiyotaki,Princeton University,,,ANDREI SHLEIFER,Male,,,,,,NA,NA,NA,NA,NA,
Andrei Shleifer,Teaching Practices and Social Capital,Harvard University,Jan 07 2012,2:30 PM,"Hyatt Regency, Regency A",American Economic Association,Education Management and Economic Growth,L3,Stephen Machin,University College London,,,,,,,,,,,ANDREI SHLEIFER,Male,,,,,,NA,NA,NA,NA,NA,
Andrei Shleifer,A Model of Shadow Banking,Harvard University,Jan 06 2012,10:15 AM,"Hyatt Regency, Grand Ballroom A",American Economic Association,Credit Bubbles,G1,Robin Greenwood,Harvard University,Jeffrey Wurgler,New York University,Augustin Landier,Toulouse School of Economics,Andrew Metrick,Yale University,,,,,ANDREI SHLEIFER,Male,,,,,,NA,NA,NA,NA,NA,
Andrei Zlate,International Banks and the Cross-Border Transmission of Business Cycles,Federal Reserve Board,Jan 08 2012,1:00 PM,"Hyatt Regency, Toronto",American Economic Association,Banking in Crisis,G2,Amit Seru,University of Chicagoi,Todd Gormley,University of Pennsylvania,Adi Sunderam,Harvard University,Jose Liberti,DePaul University,Philipp Schnabl,New York University,,,ANDREI ZLATE,Male,,,,,,NA,NA,NA,NA,NA,
Andrei Zlate,"Immigration, Remittances and Business Cycles",Federal Reserve Board,Jan 08 2012,10:15 AM,"Hyatt Regency, Grand Suite 5",American Economic Association,Aspects of the Labor Market during the Great Recession,J6,Till Von Wachter,Columbia University,,,,,,,,,,,ANDREI ZLATE,Male,,,,,,NA,NA,NA,NA,NA,
Andres Santos,Asymptotically Efficient Estimation of Models Defined by Convex Moment Inequalities,University of California-San Diego,Jan 08 2012,10:15 AM,"Hyatt Regency, Addams",Econometric Society,Partial Identification: Inference and Applications,C2,Francesca Molinari,Cornell University,Whitney K. Newey,Massachusetts Institute of Technology,Joerg Stoye,Cornell University,Hiroaki Kaido,Boston University,Karel Mertens,Cornell University,,,Andres Santos,Male,,,,,,NA,NA,NA,NA,NA,
Andrew Ang,Systemic Sovereign Credit Risk: Lessons from the U.S. and Europe,Columbia University,Jan 07 2012,8:00 AM,"Hyatt Regency, Field",Econometric Society,Sovereign Bond Risk,F3,Sergio Rebelo,Northwestern University,Mark Aguiar,University of Rochester,Adrien Verdelhan,Massachusetts Institute of Technology,Philipp Schnabl,New York University,Anna Cieslak,Northwestern University,,,ANDREW ANG,Male,,,,,,NA,NA,NA,NA,NA,
Andrew B. Bernard,Carry-Along Trade,Dartmouth College,Jan 07 2012,10:15 AM,"Hyatt Regency, Field",Econometric Society,Intermediation and Transport Costs in International Trade,F1,Amit Kandelwal,Columbia Business School,Robert Christopher Johnson,Dartmouth College,Stefania Garetto,Boston University,Marc-Andreas Muendler,University of California-San Diego,Amit Khandelwal,Columbia Business School,,,Andrew B. Bernard,Male,,,,,,NA,NA,NA,NA,NA,
Andrew Beath,Does Direct Democracy Limit Resource Capture? Experimental Evidence from Afghanistan,Harvard University,Jan 08 2012,8:00 AM,"Hyatt Regency, Columbus H",American Economic Association,Including Communities in the Development Process,O1,Rema Hanna,Harvard University,Chris Blattman,Yale University,Sandip Sukhtankar,Dartmouth College,Martina Bjorkman-Nyqvist,Universita Bocconi,Rema Hanna,Harvard University,,,Andrew Beath,Male,,,,,,NA,NA,NA,NA,NA,
Andrew Ellul,"Accounting Transparency, Tax Pressure and Access to Finance",Indiana University-Bloomington,Jan 07 2012,2:30 PM,"Swissotel, Zurich F",American Finance Association,Information Release By Firms and Its Implications,G3,Joel Peress,INSEAD,I.J. Dyck,University of Toronto,Michael Verardo,London School of Economics & Political Science,Ronnie Sadka,Boston College,Joseph Engelberg,University of California-San Diego,,,ANDREW ELLUL,Male,,,,,,NA,NA,NA,NA,NA,
Andrew Hertzberg,"Exponential Individuals, Hyperbolic Households",Columbia University,Jan 08 2012,10:15 AM,"Hyatt Regency, Acapulco",American Economic Association,Family and Finance,D1,Pierre-André Chiappori,Columbia University,,,,,,,,,,,ANDREW HERTZBERG,Male,,,,,,NA,NA,NA,NA,NA,
Andrew Lo,Privacy-Preserving Methods for Sharing Financial Risk Exposures,Massachusetts Institute of Technology,Jan 07 2012,10:15 AM,"Hyatt Regency, Grand Ballroom CD North",American Economic Association,Measuring Systemic Risk,G1,Lars Peter Hansen,University of Chicago,Bryan Kelly,University of Chicago,Paul Kupiec,Federal Deposit Insurance Corporation,Stefano Giglio,Harvard University,,,,,ANDREW LO,Male,,,,,,NA,NA,NA,NA,NA,
Andrew Metrick,The Safe-Asset Share,Yale University,Jan 07 2012,8:00 AM,"Hyatt Regency, Grand Ballroom B",American Economic Association,Financial Reform - What's Really Needed?,G2,Neil Wallace,Pennsylvania State University,Robert Shiller,Yale University,Neil Wallace,Pennsylvania State University,,,,,,,ANDREW METRICK,Male,,,,,,NA,NA,NA,NA,NA,
Andrew Paciorek,Does Home Owning Smooth the Variability of Future Housing Consumption?,University of Pennsylvania,Jan 08 2012,8:00 AM,"Swissotel, St. Gallen 2",American Real Estate & Urban Economic Association,Housing Choices over the Life Cycle,R2,Stephen Malpezzi,University of Wisconsin,Stanley Longhofer,Wchita State University,Geng Li,Federal Reserve Board,Jay Sa-Aadu,University of Iowa,Tammie Simmons-Mosley,California State University-East Bay,,,Andrew Paciorek,Male,,,,,,NA,NA,NA,NA,NA,
Andrey Fradkin,"The Good, the Bad, and the Ugly: An Application of Behavioral Welfare Economics to the Problem of Optimal Defaults in 401(k) Plans",Stanford University,Jan 07 2012,2:30 PM,"Hyatt Regency, Crystal B",American Economic Association,Behavioral Welfare Economics,D6,Joshua Schwartzstein,Dartmouth College,Richard Thaler,University of Chicago,David Laibson,Harvard University,Botond Koszegi,University of California-Berkeley,Tomasz Strzalecki,Harvard University,,,Andrey Fradkin,Male,,,,,,NA,NA,NA,NA,NA,
Angelo Mele,A Structural Model of Segregation in Social Networks,"Johns Hopkins University, Carey Business School",Jan 08 2012,1:00 PM,"Hyatt Regency, Burnham",Econometric Society,Network Models: Theory and Estimation,C1,Aureo de Paula,University of Pennsylvania,Yann Bramoulle,Laval University,Aaron Bodoh-Creed,Cornell University,Aureo de Paula,University of Pennsylvania,Robin S. Lee,New York University,,,Angelo Mele,Male,,,,,,NA,NA,NA,NA,NA,
Anisha Ghosh,What is the Consumption-CAPM Missing? An Information-Theoretic Framework for the Analysis of Asset Pricing Models,Carnegie Mellon University,Jan 07 2012,10:15 AM,"Swissotel, Zurich E",American Finance Association,Equity Risk Premium,G1,Wayne Ferson,Boston College,John Heaton,University of Chicago,Paul Schultz,University of Notre Dame,Timothy Simin,Pennsylvania State University,,,,,ANISHA GHOSH,Female,,,,,,NA,NA,NA,NA,NA,
Anjan V. Thakor,The Optimal Duration of Executive Compensation: Theory and Evidence,Washington University in Saint Louis,Jan 07 2012,2:30 PM,"Swissotel, Zurich E",American Finance Association,Executive Compensation 2,G3,Laura Starks,University of Texas-Austin,Charles Hadlock,Michigan State University,Katharina Lewellen,Dartmouth College,Jay Hartzell,University of Texas-Austin,Yuhai Xuan,Harvard Business School,,,Anjan V. Thakor,Male,Anjan Thakor,,,,,NA,NA,NA,NA,NA,
Anjan V. Thakor,Caught between Scylla and Charybdis? Regulating Bank Leverage When There is Rent Seeking and Risk Shifting,Washington University in Saint Louis,Jan 06 2012,2:30 PM,"Swissotel, Zurich B",American Finance Association,Capital Structure,G3,John Graham,Duke University,Andrew Winton,University of Minnesota-Twin Cities,Joshua Rauh,Northwestern University,Michael Roberts,University of Pennsylvania,Mark Leary,Washington University in Saint Louis,,,Anjan V. Thakor,Male,Anjan Thakor,,,,,NA,NA,NA,NA,NA,
Anjan V. Thakor,Success-Driven Skill-Inferences and Financial Crises,Washington University in St. Louis,Jan 07 2012,10:15 AM,"Hyatt Regency, Columbus G",American Economic Association,Bank Risk,G2,Karlyn Mitchell,North Carolina State University,,,,,,,,,,,Anjan V. Thakor,Male,Anjan Thakor,,,,,NA,NA,NA,NA,NA,
Ann Huff Stevens,"The Best of Times, the Worst of Times: Understanding Pro-cyclical Mortality",University of California-Davis,Jan 06 2012,2:30 PM,"Hyatt Regency, Skyway 260",Health Economics Research Organization,The Effect of Economic Crises on Health and Health Care,I1,Katherine Swartz,Harvard University,Craig Garthwaite,Northwestern University,,,,,,,,,ANN HUFF STEVENS,Female,,,,,,NA,NA,NA,NA,NA,
Anna Mikusheva,Maximum Likelihood Inference in Weakly Identified DSGE Models,Massachusetts Institute of Technology,Jan 08 2012,8:00 AM,"Hyatt Regency, Addams",Econometric Society,Inference in Dynamic Stochastic General Equilibrium Models,C0,#NAME?,,,,,,,,,,,,ANNA MIKUSHEVA,Female,,,,,,NA,NA,NA,NA,NA,
Anthony Saunders,"Syndication, Interconnectedness, and Systemic Risk",New York University,Jan 07 2012,10:15 AM,"Hyatt Regency, Columbus G",American Economic Association,Bank Risk,G2,Karlyn Mitchell,North Carolina State University,,,,,,,,,,,Anthony Saunders,Male,,,,,,NA,NA,NA,NA,NA,
Antoine Martin,Repo runs: Evidence from the tri-party repo market,Federal Reserve Bank of New York,Jan 08 2012,8:00 AM,"Hyatt Regency, Acapulco",American Economic Association,Funding of Shadow Banks,G2,Stefan Nagel,Stanford University,Viral V. Acharya,New York University,Gary B. Gorton,Yale University,Suresh Sundaresan,Columbia University,Philip E. Strahan,Boston College,,,Antoine Martin,Male,,,,,,NA,NA,NA,NA,NA,
Antoinette Schoar,Credit Supply and House Prices: Evidence from Mortgage Market Segmentation,Massachusetts Institute of Technology,Jan 08 2012,10:15 AM,"Hyatt Regency, Regency A",American Economic Association,Household Finance and the Macro Economy,G1,Antoinette Schoar,Massachusetts Institute of Technology,Ivan Werning,Massachusetts Institute of Technology,Nicholas Souleles,University of Pennsylvania,Annette Vissing Jorgensen,Northwestern University,,,,,ANTOINETTE SCHOAR,Female,,,,,,NA,NA,NA,NA,NA,
Antoinette Schoar,Ex Post (in)efficient Negotiation and Breakdown of Trade,Massachusetts Institute of Technology,Jan 06 2012,10:15 AM,"Hyatt Regency, Crystal A",American Economic Association,Experiments in Firms,M5,Antoinette Schoar,Massachusetts Institute of Technology,,,,,,,,,,,ANTOINETTE SCHOAR,Female,,,,,,NA,NA,NA,NA,NA,
Antoinette Schoar,The Importance of Being Nice: Supervisory Skills Training in the Cambodian Garment Industry,Massachusetts Institute of Technology,Jan 08 2012,1:00 PM,"Hyatt Regency, Regency C",American Economic Association,The Economics of Managers and Management,J4,John Van Reenen,London School of Economics,John Abowd,Cornell University,Marianne Bertrand,University of Chicago,Luis Garicano,London School of economics,John Roberts,Stanford University,,,ANTOINETTE SCHOAR,Female,,,,,,NA,NA,NA,NA,NA,
Antoinette Schoar,The Investment Strategies of Sovereign Wealth Funds,Massachusetts Institute of Technology,Jan 07 2012,10:15 AM,"Hyatt Regency, Gold Coast",American Economic Association,Sovereign Wealth Funds: Threat or Salvation?,G2,Will Goetzmann,Yale University,Josh Rauh,Northwestern University,Patrick Bolton,Columbia University,Udaibir Saran Das,International Monetary Fund,Re-Jin Guo,University of Illinois-Chicago,,,ANTOINETTE SCHOAR,Female,,,,,,NA,NA,NA,NA,NA,
Antonella Trigari,Financial Markets and Unemployment,Bocconi University,Jan 07 2012,10:15 AM,"Hyatt Regency, New Orleans",Chinese Economic Association in North America/American Economic Association,Macroeconomics of Financial Markets,G1,Lee Ohanian,University of California-Los Angeles,Been-Lon Chen,Academia Sinica,Shu-Chun Susan Yang,International Monetary Fund,Yi-Chan Tsai,University of Tokyo,Tzu-Ying Daphne Chen,Florida State University,,,ANTONELLA TRIGARI,Female,,,,,,NA,NA,NA,NA,NA,
Antonio Bento,Designing Efficient Markets for Carbon Offsets with Distributional Constraints,Cornell University,Jan 07 2012,10:15 AM,"Swissotel, Vevey 1",Association of Environmental & Resource Economists,Current Issues in Climate Policy,Q5,Lawrence Goulder,Stanford University,Lawrence Goulder,Stanford University,Juan-Pablo Montero,PUC-Chile,Harrison Fell,Resources for the Future,William Pizer,Duke University,,,ANTONIO BENTO,Male,,,,,,NA,NA,NA,NA,NA,
Ariel Burstein,Importing Skill-Biased Technology,University of California-Los Angeles,Jan 08 2012,8:00 AM,"Hyatt Regency, Dusable",Econometric Society,Advances in International Trade,F1,Gene Grossman,Princeton University,Stephen Ross Yeaple,Pennsylvania State University,Robert W. Staiger,Stanford University,Samuel Kortum,University of Chicago,Costas Arkolakis,Yale University,,,ARIEL BURSTEIN,Male,,,,,,NA,NA,NA,NA,NA,
Arnaud Costinot,Global Supply Chains and Wage Inequality,Massachusetts Institute of Technology,Jan 08 2012,1:00 PM,"Hyatt Regency, Grand Suite 5",American Economic Association,Global Production Chains,F1,Pol Antras,Harvard University,Esteban Rossi-Hansberg,Princeton University,Charles I. Jones,Stanford University,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,Jonathan Vogel,Columbia University,,,ARNAUD COSTINOT,Male,,,,,,NA,NA,NA,NA,NA,
Arnaud Costinot,Intertemporal Trade Policy,Massachusetts Institute of Technology,Jan 08 2012,8:00 AM,"Hyatt Regency, Dusable",Econometric Society,Advances in International Trade,F1,Gene Grossman,Princeton University,Stephen Ross Yeaple,Pennsylvania State University,Robert W. Staiger,Stanford University,Samuel Kortum,University of Chicago,Costas Arkolakis,Yale University,,,ARNAUD COSTINOT,Male,,,,,,NA,NA,NA,NA,NA,
Arthur Kennickell,Discovering the Universe: Measuring the Role of Finance Companies in the U.S. Economy,Federal Reserve Board,Jan 07 2012,10:15 AM,"Hyatt Regency, Water Tower",American Economic Association,Measurement Issues in Finance and Productivity,G2,Randall Kroszner,University of Chicago and NBER,Peter Rousseau,Vanderbilt University,Robert Inklaar,University of Groningen,Jason Faberman,Federal Reserve Bank of Chicago,John Fernald,Federal Reserve Bank of San Francisco,,,ARTHUR KENNICKELL,Male,,,,,,NA,NA,NA,NA,NA,
Arturo Galindo,Scarring Recessions and Credit Constraints: Evidence from Colombian Firm Dynamics,InterAmerican Development Bank,Jan 08 2012,10:15 AM,"Swissotel, Vevey 2",Association for Comparative Economic Studies/American Economic Association,"Institutions, Crises, and Creative Destruction",O1,John Haltiwanger,University of Maryland and NBER,Jonathan Haskel,Imperial College London,John J. Stevens,Federal Reserve Board,Francis Kramarz,CREST,Eric J. Bartelsman,Free University of Amsterdam,,,ARTURO GALINDO,Male,,,,,,NA,NA,NA,NA,NA,
Arvind Krishnamurthy,Sizing Up Repo,Northwestern University,Jan 08 2012,8:00 AM,"Hyatt Regency, Acapulco",American Economic Association,Funding of Shadow Banks,G2,Stefan Nagel,Stanford University,Viral V. Acharya,New York University,Gary B. Gorton,Yale University,Suresh Sundaresan,Columbia University,Philip E. Strahan,Boston College,,,ARVIND KRISHNAMURTHY,Male,,,,,,NA,NA,NA,NA,NA,
Arvind Subramanian,Third-Market Effects of Exchange Rates: A Study of the Renminbi,Peterson Institute for International Economics,Jan 06 2012,10:15 AM,"Hyatt Regency, Columbus G",American Economic Association,Exchange Rates,F3,Mario Crucini,Vanderbilt University,,,,,,,,,,,ARVIND SUBRAMANIAN,Male,,,,,,NA,NA,NA,NA,NA,
Arya Gaduh,Improving Educational Quality through Enhancing Community Participation: Results from a Randomized Field Experiment in Indonesia”,University of Southern California,Jan 08 2012,8:00 AM,"Hyatt Regency, Columbus H",American Economic Association,Including Communities in the Development Process,O1,Rema Hanna,Harvard University,Chris Blattman,Yale University,Sandip Sukhtankar,Dartmouth College,Martina Bjorkman-Nyqvist,Universita Bocconi,Rema Hanna,Harvard University,,,Arya Gaduh,Male,,,,,,NA,NA,NA,NA,NA,
Asaf Manela,Information Acquisition in Rumor-Based Bank Runs,University of Chicago,Jan 07 2012,10:15 AM,"Hyatt Regency, Columbus G",American Economic Association,Bank Risk,G2,Karlyn Mitchell,North Carolina State University,,,,,,,,,,,Asaf Manela,Male,,,,,,NA,NA,NA,NA,NA,
Asani Sarkar,Dealer Financial Conditions and the Term Securities Lending Facility: Was Bagehot Right After All?,Federal Reserve Bank of New York,Jan 07 2012,2:30 PM,"Hyatt Regency, Regency B",American Economic Association,Funding Markets and the Financial Crisis,E5,Viral Acharya,New York University,Darrell Duffie,Stanford University,Adam Zawadowski,Boston University,Douglas Diamond,University of Chicago,,,,,ASANI SARKAR,Male,,,,,,NA,NA,NA,NA,NA,
Ashley Langer,Demographic Price Discrimination in New Vehicle Sales,University of Michigan,Jan 06 2012,12:30 PM,"Swissotel, Vevey 2",Industrial Organization Society,IOS Young Researchers Session,L1,Daniel Ackerberg,University of Michigan,Matthew S. Lewis,Ohio State University,Mark R. Jacobsen,University of California-San Diego,Kei Kawai,University of Pennsylvania,Shaun McRae,University of Michigan,,,Ashley Langer,Female,,,,,,NA,NA,NA,NA,NA,
Augustin Landier,Monetary Policy and Risk-Shifting: Evidence from the Subprime Market,University of Toulouse 1,Jan 08 2012,1:00 PM,"Swissotel, Zurich B",American Finance Association,Banking and Financial Institutions 2,G2,Mark Flannery,University of Florida,Vikrant Vig,London Business School,Reint Gropp,"European Business School, Germany",Andreas Lehnert,Government of the United States of America,Sreedhar Bharath,University of Michigan-Ann Arbor,,,AUGUSTIN LANDIER,Male,,,,,,NA,NA,NA,NA,NA,
