,author,year,gender
777,Nikolaj Arpe Harmon,2016,M
778,Jose Miguel Abito,2016,M
779,Daifeng He,2016,F
780,Xinding Yu,2016,
781,Kunfu Zhu,2016,M
782,Kuo Zhang,2016,M
783,Zhongwei Huang,2016,M
784,Nicolas Bollen,2016,M
785,Lingxiao Li,2016,F
786,Tsur Somerville,2016,F
787,Atonu Rabbani,2016,M
788,Novica Supic,2016,M
789,Vanitha Ragunathan,2016,F
790,Wolter Hassink,2016,M
791,Jos̩ Caraballo,2016,M
792,Gayaneh Kyureghian,2016,F
793,Huigang Chen,2016,M
794,Mahvash S. Qureshi,2016,F
795,Naci Mocan,2016,M
796,Yiseon Yoo,2016,F
797,Hong kee Sul,2016,M
798,Aleksejs Krecetovs,2016,M
799,Wenxi Jiang,2016,M
800,Kuncheng (K.C.) Zheng,2016,M
801,Talis Putnins,2016,M
802,Xuguang (Simon) Sheng,2016,M
803,Aggey Semenov,2016,M
804,Tanakorn Makaew,2016,M
805,Johanna Schauer,2016,F
